date,ccy_pair,base_ccy,quote_ccy,spot_rate,source
2025-01-14,AUDUSD,AUD,USD,0.720786,SYNTHETIC_GENERATOR
2025-01-15,AUDUSD,AUD,USD,0.722455,SYNTHETIC_GENERATOR
2025-01-16,AUDUSD,AUD,USD,0.724928,SYNTHETIC_GENERATOR
2025-01-17,AUDUSD,AUD,USD,0.724851,SYNTHETIC_GENERATOR
2025-01-20,AUDUSD,AUD,USD,0.721579,SYNTHETIC_GENERATOR
2025-01-21,AUDUSD,AUD,USD,0.722342,SYNTHETIC_GENERATOR
2025-01-22,AUDUSD,AUD,USD,0.721503,SYNTHETIC_GENERATOR
2025-01-23,AUDUSD,AUD,USD,0.720183,SYNTHETIC_GENERATOR
2025-01-24,AUDUSD,AUD,USD,0.719236,SYNTHETIC_GENERATOR
2025-01-27,AUDUSD,AUD,USD,0.721214,SYNTHETIC_GENERATOR
2025-01-28,AUDUSD,AUD,USD,0.720617,SYNTHETIC_GENERATOR
2025-01-29,AUDUSD,AUD,USD,0.719527,SYNTHETIC_GENERATOR
2025-01-30,AUDUSD,AUD,USD,0.719308,SYNTHETIC_GENERATOR
2025-01-31,AUDUSD,AUD,USD,0.718735,SYNTHETIC_GENERATOR
2025-02-03,AUDUSD,AUD,USD,0.718855,SYNTHETIC_GENERATOR
2025-02-04,AUDUSD,AUD,USD,0.720399,SYNTHETIC_GENERATOR
2025-02-05,AUDUSD,AUD,USD,0.720963,SYNTHETIC_GENERATOR
2025-02-06,AUDUSD,AUD,USD,0.722953,SYNTHETIC_GENERATOR
2025-02-07,AUDUSD,AUD,USD,0.721134,SYNTHETIC_GENERATOR
2025-02-10,AUDUSD,AUD,USD,0.723619,SYNTHETIC_GENERATOR
2025-02-11,AUDUSD,AUD,USD,0.721069,SYNTHETIC_GENERATOR
2025-02-12,AUDUSD,AUD,USD,0.71902,SYNTHETIC_GENERATOR
2025-02-13,AUDUSD,AUD,USD,0.722522,SYNTHETIC_GENERATOR
2025-02-14,AUDUSD,AUD,USD,0.720861,SYNTHETIC_GENERATOR
2025-01-14,EURUSD,EUR,USD,1.120539,SYNTHETIC_GENERATOR
2025-01-15,EURUSD,EUR,USD,1.12081,SYNTHETIC_GENERATOR
2025-01-16,EURUSD,EUR,USD,1.117048,SYNTHETIC_GENERATOR
2025-01-17,EURUSD,EUR,USD,1.118982,SYNTHETIC_GENERATOR
2025-01-20,EURUSD,EUR,USD,1.11764,SYNTHETIC_GENERATOR
2025-01-21,EURUSD,EUR,USD,1.110597,SYNTHETIC_GENERATOR
2025-01-22,EURUSD,EUR,USD,1.107805,SYNTHETIC_GENERATOR
