date,instrument_id,instrument_description,asset_class,price,yield_pct,spread_bps,implied_vol_pct,px_bid,px_ask,px_mid,price_type,source,last_update_utc
2025-01-14,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,67.097865,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-14T06:15:00Z
2025-01-15,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,65.893797,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-15T06:15:00Z
2025-01-16,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,64.608913,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-16T06:15:00Z
2025-01-17,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,64.360465,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-17T06:15:00Z
2025-01-20,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,65.673514,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-20T06:15:00Z
2025-01-21,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,65.484059,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-21T06:15:00Z
2025-01-22,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,64.973233,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-22T06:15:00Z
2025-01-23,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,65.989759,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-23T06:15:00Z
2025-01-24,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,65.379702,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-24T06:15:00Z
2025-01-27,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,66.476166,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-27T06:15:00Z
2025-01-28,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,64.774376,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-28T06:15:00Z
2025-01-29,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,64.716959,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-29T06:15:00Z
2025-01-30,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,63.607887,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-30T06:15:00Z
2025-01-31,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,61.508447,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-01-31T06:15:00Z
2025-02-03,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,60.559422,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-03T06:15:00Z
2025-02-04,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,62.503711,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-04T06:15:00Z
2025-02-05,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,63.757801,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-05T06:15:00Z
2025-02-06,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,64.963343,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-06T06:15:00Z
2025-02-07,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,65.092804,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-07T06:15:00Z
2025-02-10,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,63.528643,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-10T06:15:00Z
2025-02-11,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,63.201424,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-11T06:15:00Z
2025-02-12,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,63.557524,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-12T06:15:00Z
2025-02-13,DEMO-CDS-018,Synthetic sovereign five-year CDS,CREDIT,,,63.001445,,,,,SPREAD,SYNTHETIC_GENERATOR,2025-02-13T06:15:00Z
