as_of_date,trade_id,book_id,instrument_id,risk_metric,value,ccy,value_usd,unit,computation_timestamp,notes
2025-02-14,DEMO-001,RATES-DEMO-01,DEMO-IRS-001,DV01,2777925.81,JPY,19150.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-001,RATES-DEMO-01,DEMO-IRS-001,Duration,2.15,JPY,2.15,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-002,RATES-DEMO-01,DEMO-IRS-002,DV01,-26681573.8735,KRW,-20300.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-002,RATES-DEMO-01,DEMO-IRS-002,Duration,2.8,KRW,2.8,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-003,RATES-DEMO-01,DEMO-IRS-003,DV01,29756.08335,AUD,21450.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-003,RATES-DEMO-01,DEMO-IRS-003,Duration,3.45,AUD,3.45,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-004,RATES-DEMO-01,DEMO-IRS-004,DV01,-30970.2716,SGD,-22600.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-004,RATES-DEMO-01,DEMO-IRS-004,Duration,4.1,SGD,4.1,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-005,RATES-DEMO-01,DEMO-GOVT-005,DV01,3445208.25,JPY,23750.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-005,RATES-DEMO-01,DEMO-GOVT-005,Duration,4.75,JPY,4.75,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-006,RATES-DEMO-01,DEMO-GOVT-006,DV01,-3612028.86,JPY,-24900.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-006,RATES-DEMO-01,DEMO-GOVT-006,Duration,5.4,JPY,5.4,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-007,RATES-DEMO-01,DEMO-GOVT-007,DV01,34239162.53225,KRW,26050.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-007,RATES-DEMO-01,DEMO-GOVT-007,Duration,6.05,KRW,6.05,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-008,RATES-DEMO-01,DEMO-GOVT-008,DV01,-37273.9552,SGD,-27200.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-008,RATES-DEMO-01,DEMO-GOVT-008,Duration,6.7,SGD,6.7,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-009,RATES-DEMO-01,DEMO-GOVT-009,DV01,39327.970302,AUD,28350.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-009,RATES-DEMO-01,DEMO-GOVT-009,Duration,7.35,AUD,7.35,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-010,RATES-DEMO-01,DEMO-GOVT-010,DV01,-38773715.7275,KRW,-29500.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-010,RATES-DEMO-01,DEMO-GOVT-010,Duration,1.5,KRW,1.5,years,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-011,CREDIT-DEMO-01,DEMO-CORP-MISSING,DV01,30650.0,USD,30650.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-011,CREDIT-DEMO-01,DEMO-CORP-MISSING,Spread01,15700.0,USD,15700.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-011,CREDIT-DEMO-01,DEMO-CORP-MISSING,JTD_USD,2410000.0,USD,2410000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-012,CREDIT-DEMO-01,DEMO-CORP-STALE,DV01,-31800.0,USD,-31800.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-012,CREDIT-DEMO-01,DEMO-CORP-STALE,Spread01,-16400.0,USD,-16400.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-012,CREDIT-DEMO-01,DEMO-CORP-STALE,JTD_USD,-2520000.0,USD,-2520000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-013,CREDIT-DEMO-01,DEMO-CORP-STALE,DV01,4779773.13,JPY,32950.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-013,CREDIT-DEMO-01,DEMO-CORP-STALE,Spread01,2480549.94,JPY,17100.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-013,CREDIT-DEMO-01,DEMO-CORP-STALE,JTD_USD,2630000.0,USD,2630000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-014,CREDIT-DEMO-01,DEMO-CORP-014,DV01,-34100.0,USD,-34100.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-014,CREDIT-DEMO-01,DEMO-CORP-014,Spread01,-17800.0,USD,-17800.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-014,CREDIT-DEMO-01,DEMO-CORP-014,JTD_USD,-2740000.0,USD,-2740000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-015,CREDIT-DEMO-01,DEMO-CORP-015,DV01,48305.4015,SGD,35250.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-015,CREDIT-DEMO-01,DEMO-CORP-015,Spread01,25351.771,SGD,18500.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-015,CREDIT-DEMO-01,DEMO-CORP-015,JTD_USD,2850000.0,USD,2850000.0,amount_usd,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-016,CREDIT-DEMO-01,DEMO-CORP-016,DV01,-286283.2336,HKD,-36400.0,amount,2025-02-14T06:30:00Z,Synthetic example data
2025-02-14,DEMO-016,CREDIT-DEMO-01,DEMO-CORP-016,Spread01,-151006.5408,HKD,-19200.0,amount,2025-02-14T06:30:00Z,Synthetic example data
